# Hawthorn Football Club
> Records and achievements

| Player | Years | Position | Most Games |
| --- | --- | --- | --- |
| Michael Tuck | 1972-1991 | Ruck-rover | 426 |
| Leigh Matthews | 1969-1985 | Rover | 332 |
| Sam Mitchell | 2002-2016 | Midfielder | 307 |
| Shane Crawford | 1993-2008 | Rover | 305 |
| Chris Langford | 1983-1997 | Full-back | 303 |
| Don Scott | 1967-1981 | Ruckman | 302 |
| Kelvin Moore | 1970-1984 | Full-back | 300 |
| Luke Hodge | 2002- | Midfielder | 286 |
| Gary Ayres | 1978-1993 | Back-pocket | 269 |
| Jason Dunstall | 1985-1998 | Full-forward | 269 |
| Jordan Lewis | 2005-2016 | Midfielder | 264 |
| Peter Knights | 1969-1985 | Half-back | 264 |
| John Platten | 1986-1997 | Rover | 258 |
| John Kennedy | 1979-1991 | Half-back | 241 |
| Grant Birchall | 2006- | Half-back | 240 |
| Robert DiPierdomenico | 1975-1991 | Wing | 240 |
