# Korea 2-Digit Postal Prefix Overview for Major Administrative Regions (Coarse Mapping)

| 2-digit prefix (NN) | High-level region | Notes |
|---|---|---|
| 01–09 | Seoul Special City | City-wide summary |
| 10–20 | Gyeonggi Province | Surrounding Seoul |
| 21–23 | Incheon Metropolitan City | Port metro |
| 24–26 | Gangwon Province | Mountain region |
| 27–29 | North Chungcheong Province | Provincial grouping |
| 30–33 | South Chungcheong Province | Provincial grouping |
| 34–35 | Daejeon Metropolitan City | Metro summary |
| 41–43 | Daegu Metropolitan City | Metro summary |
| 44–45 | Ulsan Metropolitan City | Metro summary |
| 46–49 | Busan Metropolitan City | Metro summary |
| 50–53 | South Gyeongsang Province | Provincial grouping |
| 54–56 | North Jeolla Province | Provincial grouping |
