# Names Organized by Linguistic Origin with Meanings (No Popularity Metrics)

| Name | Gender | Linguistic Origin | Meaning | Cultural / Usage Context |
| --- | --- | --- | --- | --- |
| Aoife | Girl | Irish (Gaelic) | beauty; radiance | Prominent in Irish mythology |
| Idris | Boy | Welsh / Arabic (multiple etymologies) | ardent lord (Welsh); interpreter (Arabic) | Used in both Welsh and Muslim contexts |
| Eleni | Girl | Greek | torch; shining light | Greek form related to Helen |
| Darius | Boy | Old Persian | possessing goodness; kingly | Historically associated with Persian royalty |
| Amara | Girl | Igbo / Latin (multiple roots) | grace (Igbo); everlasting (Latin) | Cross-origin name; meaning depends on tradition |
| Lina | Girl | Arabic / Latin (multiple roots) | tender; delicate (Arabic); palm tree (Latin) | Common across Europe and MENA |
| Bodhi | Unisex | Sanskrit / Pali | awakening; enlightenment | Buddhist philosophical term used as name |
| Selma | Girl | Germanic / Arabic (multiple roots) | divine protection (Germanic); peace/safe (Arabic) | Appears across European and Middle Eastern usage |
| Kenji | Boy | Japanese | strong; second son (varies by kanji) | Meaning depends on chosen kanji characters |
| Aylin | Girl | Turkish | moon halo; of the moon | Widely used in Turkey and diaspora |
