# Pre-Washington “Presidents”  Continental Congress vs. Confederation Congress (Officeholders and State)

| Period | Presiding office title used | Officeholder | Colony/State | Notes |
|---|---|---|---|---|
| 1774 (First Continental Congress) | President of the Continental Congress | Peyton Randolph | Virginia | Early presiding officer of the Congress |
| 1774 (First Continental Congress) | President of the Continental Congress | Henry Middleton | South Carolina | Succeeded Randolph during 1774 session |
| 1775–1777 (Second Continental Congress) | President of the Continental Congress | John Hancock | Massachusetts | Most prominent early presiding officer |
| 1777–1778 (Second Continental Congress) | President of the Continental Congress | Henry Laurens | South Carolina | Served during wartime Congress |
| 1778–1779 (Second Continental Congress) | President of the Continental Congress | John Jay | New York | Later associated with diplomacy/judiciary |
| 1779–1781 (Second Continental Congress) | President of the Continental Congress | Samuel Huntington | Connecticut | Long tenure bridging to Articles era |
| 1781 (Second Continental Congress) | President of the Continental Congress | Thomas McKean | Delaware | Short interim term in 1781 |
| 1781–1782 (Congress of the Confederation) | President of the United States in Congress Assembled | John Hanson | Maryland | First under the Articles framework |
| 1782–1783 (Congress of the Confederation) | President of the United States in Congress Assembled | Elias Boudinot | New Jersey | Confederation Congress presiding officer |
| 1783–1784 (Congress of the Confederation) | President of the United States in Congress Assembled | Thomas Mifflin | Pennsylvania | Presided as the war ended |
| 1784–1785 (Congress of the Confederation) | President of the United States in Congress Assembled | Richard Henry Lee | Virginia | Confederation Congress presiding officer |
| 1785–1786 (Congress of the Confederation) | President of the United States in Congress Assembled | John Hancock | Massachusetts | Returned but was often absent |
| 1786–1787 (Congress of the Confederation) | President of the United States in Congress Assembled | Nathaniel Gorham | Massachusetts | Presided during mid-1780s |
| 1787 (Congress of the Confederation) | President of the United States in Congress Assembled | Arthur St. Clair | Pennsylvania | Presided around Constitutional Convention period |
| 1788 (Congress of the Confederation) | President of the United States in Congress Assembled | Cyrus Griffin | Virginia | Last to preside before the new government |
