# Selangor
> Education

| Name | Acronym | Foundation | Location |
| --- | --- | --- | --- |
| Al-Madinah International University | MEDIU | 2006 | Shah Alam |
| Binary University of Management and Entrepreneurship | BUCME | 1984 | Puchong |
| City University College of Science and Technology | CITY UC | 1984 | Petaling Jaya |
| Cyberjaya University College of Medical Sciences | CUCMS | 2005 | Cyberjaya |
| University of Selangor | UNISEL | 1999 | Bestari Jaya & Shah Alam [24] |
| INTI International College Subang | INTI | 1998 | Subang Jaya |
| International University College Of Technology Twintech | TWINTECH | 1994 | Bangi |
| KDU University College | KDU | 1983 | Damansara Utama |
| Infrastructure University Kuala Lumpur | IUKL | 1997 | Kajang |
| Limkokwing University of Creative Technology | LUCT | 1992 | Cyberjaya |
| German-Malaysian Institute | GMi | 1991 | Bangi |
| Malaysia University of Science and Technology | MUST | 2000 | Petaling Jaya |
| Management and Science University | MSU | 2002 | Shah Alam |
| UCSI University | UCSI | 1986 | Cheras |
| Asia Metropolitan University | MASTERSKILL | 1997 | Cheras |
| Multimedia University | MMU | 1994 | Cyberjaya |
| SEGi University | SEGi | 1977 | Kota Damansara & Subang Jaya |
| International Islamic University College Selangor | KUIS | 1995 | Bangi |
| Sunway University | SYUC | 1987 | Subang Jaya |
| Taylor's University | TAYLOR | 1969 | Subang Jaya |
| University of Tenaga Nasional | UNITEN | 1976 | Kajang |
| Tun Abdul Razak University | UNIRAZAK | 1998 | Petaling Jaya |
| Universiti Tunku Abdul Rahman | UTAR | 2002 | Sungai Long |
