# Acid Base and Salt Examples with Ion Charges (Species-Level, Not Element-Level)

| Species | Classification | Charge | Example Context | Notes |
|---|---|---|---|---|
| H+ | cation | +1 | acids | species list, not element oxidation set |
| OH- | anion | -1 | bases | polyatomic ion |
| H3O+ | cation | +1 | aqueous acids | molecular ion |
| NH4+ | cation | +1 | ammonium salts | molecular ion |
| NO3- | anion | -1 | nitrates | polyatomic ion |
| SO4^2- | anion | -2 | sulfates | polyatomic ion |
| CO3^2- | anion | -2 | carbonates | polyatomic ion |
| PO4^3- | anion | -3 | phosphates | polyatomic ion |
| CN- | anion | -1 | cyanides | polyatomic ion |
| CH3COO- | anion | -1 | acetates | polyatomic ion |
| ClO4- | anion | -1 | perchlorates | polyatomic ion |
| MnO4- | anion | -1 | permanganates | polyatomic ion |
