# California ZIP Reference (State + ZIP Type Focus)

| ZIP Code | State | County | Type | Common Cities |
|---|---|---|---|---|
| 90001 | CA | Los Angeles | Standard | Los Angeles |
| 90007 | CA | Los Angeles | Standard | Los Angeles |
| 90210 | CA | Los Angeles | Standard | Beverly Hills |
| 90401 | CA | Los Angeles | Standard | Santa Monica |
| 90650 | CA | Los Angeles | Standard | Norwalk |
| 90802 | CA | Los Angeles | Standard | Long Beach |
| 91006 | CA | Los Angeles | PO Box | Arcadia |
| 92101 | CA | San Diego | Standard | San Diego |
| 94102 | CA | San Francisco | Standard | San Francisco |
| 95814 | CA | Sacramento | Standard | Sacramento |
