# Global Bank Size Comparison by Region (Grouped, Not a Single Global Rank Order)

| Region | Regional Rank | Bank | Country | Total Assets (US$ bn) |
|---|---:|---|---|---:|
| Asia-Pacific | 1 | ICBC | China | 3600 |
| Asia-Pacific | 2 | China Construction Bank | China | 2900 |
| Asia-Pacific | 3 | Mitsubishi UFJ Financial Group | Japan | 3000 |
| Europe | 1 | HSBC Holdings | United Kingdom | 2700 |
| Europe | 2 | BNP Paribas | France | 2600 |
| Europe | 3 | Crédit Agricole | France | 2400 |
| North America | 1 | JPMorgan Chase & Co. | United States | 4100 |
| North America | 2 | Bank of America | United States | 3200 |
| North America | 3 | Citigroup | United States | 2400 |
| Middle East & Africa | 1 | First Abu Dhabi Bank | United Arab Emirates | 330 |
| Middle East & Africa | 2 | Standard Bank Group | South Africa | 180 |
