# Least Populous Caribbean Countries and Territories (Ascending Population)

| Rank (smallest) | Country/Territory | Status | Population (approx.) |
|---:|---|---|---:|
| 1 | Saba | Constituent country (Kingdom of the Netherlands) | 1,900 |
| 2 | Sint Eustatius | Constituent country (Kingdom of the Netherlands) | 3,200 |
| 3 | British Virgin Islands | British Overseas Territory | 30,000 |
| 4 | Anguilla | British Overseas Territory | 15,000 |
| 5 | Montserrat | British Overseas Territory | 5,000 |
| 6 | Turks and Caicos Islands | British Overseas Territory | 45,000 |
| 7 | Saint Kitts and Nevis | Sovereign state | 53,000 |
| 8 | Dominica | Sovereign state | 72,000 |
| 9 | Antigua and Barbuda | Sovereign state | 100,000 |
| 10 | Bermuda | British Overseas Territory | 64,000 |
