# External Debt Burden by Country (Debt-to-GDP and Per Capita), 2022

| Region | Country | Reference year | External debt (% of GDP) | External debt per capita (US$) | Notes |
|---|---|---:|---:|---:|---|
| North America | United States | 2022 | 98.4% | 62,100 | Stock concept, scaled indicators only |
| Europe | United Kingdom | 2022 | 320.5% | 146,800 | Financial center effects |
| Europe | France | 2022 | 210.2% | 92,400 | Includes public & private |
| Europe | Germany | 2022 | 175.0% | 78,900 | Consolidated |
| Asia | Japan | 2022 | 85.6% | 35,700 | Exchange-rate sensitive |
| Asia | Singapore | 2022 | 430.1% | 510,000 | Hub economy |
| Latin America | Mexico | 2022 | 42.3% | 6,900 | Emerging market |
| Africa | Ethiopia | 2022 | 29.7% | 320 | Low-income |
| Oceania | Australia | 2022 | 120.4% | 98,600 | Large banking sector |
