# Metric Fine-Thread Tap Drill Recommendations (Fine Pitch Series, Drill Size in mm)

| Metric thread (fine) | Pitch (mm) | Recommended tap drill (mm) | Notes |
|---|---:|---:|---|
| M6 × 0.75 | 0.75 | 5.3 | Fine pitch for better adjustment |
| M8 × 1.0 | 1.00 | 7.0 | Fine compared to M8×1.25 |
| M10 × 1.25 | 1.25 | 8.8 | Common fine series |
| M10 × 1.0 | 1.00 | 9.0 | Extra-fine option |
| M12 × 1.5 | 1.50 | 10.5 | Fine compared to M12×1.75 |
| M12 × 1.25 | 1.25 | 10.8 | Extra-fine option |
| M14 × 1.5 | 1.50 | 12.5 | Fine series |
| M16 × 1.5 | 1.50 | 14.5 | Fine series |
| M18 × 1.5 | 1.50 | 16.5 | Fine series |
| M20 × 1.5 | 1.50 | 18.5 | Fine series for large bolts |
