# Legal status of capital punishment in Western & Northern Europe (abolition year by country)

| Region | Country | Current legal status | Abolition year (for all crimes) | Notes |
|---|---|---|---:|---|
| Western Europe | France | Abolished | 1981 | Abolished for ordinary crimes; later constitutional/European commitments reinforced ban |
| Western Europe | Germany | Abolished | 1949 | Basic Law removed death penalty; unified Germany retains abolition |
| Western Europe | Belgium | Abolished | 1996 | Formal legislative abolition after a long period without executions |
| Western Europe | Netherlands | Abolished | 1982 | Full abolition completed in late 20th century |
| Western Europe | Luxembourg | Abolished | 1979 | Abolished in the penal code |
| Northern Europe | Denmark | Abolished | 1978 | Full abolition; earlier changes restricted use |
| Northern Europe | Sweden | Abolished | 1973 | Full abolition in modern era |
| Northern Europe | Norway | Abolished | 1979 | Full abolition; post-war period included limited use historically |
| Northern Europe | Finland | Abolished | 1972 | Abolished for all crimes |
| Northern Europe | Iceland | Abolished | 1928 | One of the earliest abolitions in Europe |
| Northern Europe | Ireland | Abolished | 1990 | Legislative abolition; later constitutional changes reinforced |
| Northern Europe | United Kingdom | Abolished | 1998 | Final abolition completed with removal of remaining military provisions |
