# Published Label pH Specifications for Popular Bottled Waters (No Measurement Context)

| Brand | Stated pH | Where It Appears | Statement Style | Caveats |
|---|---:|---|---|---|
| VOSS | 6.0 | label/spec sheet | single-number spec | not identified as measured result |
| FIJI | 7.7 | brand materials | "typical" pH | may vary by batch/source |
| Poland Spring | 6.5 | customer support page | approximate | no test method disclosed |
| Perrier | 5.5 | product listing | numeric spec | unclear if lab-tested or nominal |
| Smartwater | 6.5 | marketing copy | approximate | no sampling information |
| Acqua Panna | 8.0 | packaging | numeric claim | no date/location of test |
| Evian | 7.2 | published spec | typical | no measurement protocol |
| Core Hydration | 7.4 | label | "balanced" | presented as branding |
| Essentia | 9.5 | label | high-pH claim | may be a target rather than measured |
