# FIFA Confederations Membership List (Selected Countries)

| Confederation | Country | Member Since | Best World Cup Finish |
|---|---|---:|---|
| UEFA | Austria | 1904 | 3rd (1954) |
| UEFA | Switzerland | 1904 | QF (1934/1938/1954) |
| UEFA | Hungary | 1901 | 2nd (1938/1954) |
| CAF | Chad | 1962 | Did not qualify |
| CAF | Niger | 1963 | Did not qualify |
| AFC | Nepal | 1972 | Did not qualify |
| AFC | Mongolia | 1998 | Did not qualify |
| CONMEBOL | Bolivia | 1926 | Group stage |
| CONMEBOL | Paraguay | 1921 | QF (2010) |
| CONCACAF | Mexico | 1927 | QF (1970/1986) |
| UEFA | Croatia | 1992 | 2nd (2018) |
