# Differentiation Rules and Common Derivatives (Single-Variable)

| Category | Pattern / Function | Derivative | Notes |
| --- | --- | --- | --- |
| Combination rules | (f + g)(x) | f'(x) + g'(x) | Sum rule |
| Combination rules | (f - g)(x) | f'(x) - g'(x) | Difference rule |
| Combination rules | (c f)(x) | c f'(x) | Constant multiple |
| Combination rules | (f g)(x) | f'(x)g(x) + f(x)g'(x) | Product rule |
| Combination rules | (f/g)(x) | (f'(x)g(x) - f(x)g'(x))/g(x)^2 | Quotient rule |
| Specific function formulas | x^n | n x^(n-1) | Power rule (specific family) |
| Specific function formulas | sin x | cos x | Trig derivative |
| Specific function formulas | e^x | e^x | Exponential derivative |
| Specific function formulas | ln x | 1/x | Log derivative |
| Specific function formulas | arctan x | 1/(1+x^2) | Inverse trig derivative |
