# WHO-style child growth standards  weight-for-length reference (0–24 months)

| Recumbent length (cm) | Weight range (kg) | Reference (P5–P95) | Notes |
|---:|---:|---|---|
| 50 | 2.5–4.2 | P5–P95 | Newborn length range |
| 55 | 3.0–5.0 | P5–P95 | Not age-based |
| 60 | 3.8–6.2 | P5–P95 | Use measured length |
| 65 | 4.6–7.5 | P5–P95 | Screening only |
| 70 | 5.4–8.9 | P5–P95 | Combined sexes |
| 75 | 6.3–10.4 | P5–P95 | Not month-specific |
| 80 | 7.3–12.0 | P5–P95 | Not split by age |
| 85 | 8.4–13.7 | P5–P95 | Cross-sectional |
| 90 | 9.6–15.5 | P5–P95 | Not a monthly chart |
| 95 | 10.9–17.4 | P5–P95 | For length-based checks |
