# Venomous snakes of Texas (selected) with in-state occurrence notes

| State | Venomous snake (common name) | Scientific name | Typical in-state distribution / where encountered |
|---|---|---|---|
| Texas | Western diamondback rattlesnake | Crotalus atrox | Widespread; especially west/central TX (Hill Country, Edwards Plateau), brushlands and rocky areas |
| Texas | Mojave rattlesnake | Crotalus scutulatus | Far West TX (Trans-Pecos/Chihuahuan Desert), desert flats and rocky slopes |
| Texas | Timber rattlesnake | Crotalus horridus | East TX pine/hardwood forests; more common in wooded, hilly areas |
| Texas | Pygmy rattlesnake | Sistrurus miliarius | East and Gulf Coastal Plain; pine flatwoods, marsh edges, sandy woods |
| Texas | Copperhead (broad-banded / southern forms) | Agkistrodon contortrix | Central/East TX; often near wooded creeks, rocky hillsides, suburban greenbelts |
| Texas | Cottonmouth (water moccasin) | Agkistrodon piscivorus | East TX and Gulf Coastal Plain; swamps, bayous, slow streams, lakeshores |
| Texas | Texas coral snake | Micrurus tener | South, Central, and East TX; brushy areas, leaf litter, often near sandy soils |
| Texas | Massasauga (western massasauga) | Sistrurus tergeminus | Plains of north/central TX; prairies, grasslands, open rangeland |
| Texas | Rock rattlesnake | Crotalus lepidus | Edwards Plateau and Trans-Pecos mountains; rocky canyons and talus slopes |
| Texas | Black-tailed rattlesnake | Crotalus molossus | West/Central TX; rocky hills, desert foothills, canyon country |
