# Irish Surname Equivalents by Prefix Type (Ó   Mac)  English vs Irish (Gaelic) Forms

| Prefix group | English-form surname | Irish (Gaelic) surname | Meaning / Etymology note |
|---|---|---|---|
| Ó | O'Connor | Ó Conchobhair | descendant of Conchobhar |
| Ó | O'Neill | Ó Néill | descendant of Niall |
| Ó | O'Reilly | Ó Raghallaigh | descendant of Raghallach |
| Ó | O'Donovan | Ó Donnabháin | descendant of Donnabhán |
| Ó | O'Mahony | Ó Mathghamhna | descendant of Mathghamhain |
| Mac | McCarthy | Mac Cárthaigh | son of Cárthach |
| Mac | MacMahon | Mac Mathghamhna | son of Mathghamhain |
| Mac | McKenna | Mac Cionaodha | son of Cionaodh |
| Mac | McDonnell | Mac Dónaill | son of Dónall |
| Mac | McDermott | Mac Diarmada | son of Diarmaid |
| Mac | McLaughlin | Mac Lochlainn | son of Lochlann |
| Mac | McGrath | Mac Craith | son of Cráith |
