# German Prepositions by Case (Sentence Patterns Focus)

| Case | Pattern | Example sentence | Preposition(s) in the pattern |
| --- | --- | --- | --- |
| Accusative | PREP + accusative NP | Ich gehe **ohne** meinen Bruder. | ohne |
| Accusative | PREP + accusative NP | Er arbeitet **für** eine Firma. | für |
| Accusative | PREP + accusative NP | Das ist **gegen** den Plan. | gegen |
| Dative | PREP + dative NP | Ich komme **aus** dem Haus. | aus |
| Dative | PREP + dative NP | Wir fahren **mit** dem Zug. | mit |
| Dative | PREP + dative NP | Sie wohnt **bei** ihrer Mutter. | bei |
| Genitive | PREP + genitive NP | **Wegen** des Wetters bleiben wir. | wegen |
| Genitive | PREP + genitive NP | **Trotz** der Kälte gehen wir raus. | trotz |
| Genitive | PREP + genitive NP | **Während** des Films war es still. | während |
