# Bottled Water pH List with Acid Alkaline Judgment Column

| Product | Source / Features | pH | Acidic or Alkaline (Judgment) |
|---|---|---:|---|
| Icelandic Glacial | Spring water | 8.3 | Alkaline (good) |
| Acqua Panna | Spring water (Italy) | 8.2 | Alkaline (good) |
| Essentia | Purified + electrolytes | 9.0 | Alkaline (best) |
| Smartwater | Distilled + minerals | 7.0 | Neutral (fine) |
| Fiji | Artesian aquifer | 7.0 | Neutral (fine) |
| Evian | Spring water | 7.2 | Alkaline (good) |
| Poland Spring | Spring water | 6.3 | Acidic (bad) |
| Perrier | Carbonated mineral | 5.5 | Acidic (bad) |
| S. Pellegrino | Carbonated mineral | 5.3 | Acidic (bad) |
| Propel | Processed/flavored | 3.4 | Acidic (worst) |
