# Chief of Army Staff of the Bangladesh Army
> List of Chiefs of Army staff

| # | Name | Photo | Term Began | Term Ended | Decoration | Unit of Commission | Commission category |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 1st | Major General Mohammad A. Rab |  | 3 January 1972 | 5 April 1972 | Bir Uttom | Army Service Corps | BDF War Commander 1971 |
| 2nd | Major General Kazi M Shafiullah |  | 5 April 1972 | 24 August 1975 | Bir Uttom | East Bengal Regiment | BDF War Commander 1971 |
| 3rd | Major General Ziaur Rahman |  | 24 August 1975 | 3 November 1975 | Bir Uttom | East Bengal Regiment | BDF War Commander 1971 |
| 4th | Major General Khaled Mosharraf |  | 3 November 1975 | 7 November 1975 | Bir Uttom | East Bengal Regiment | BDF War Commander 1971 |
| 5th | Lieutenant General [ clarification needed ] Ziaur Rahman |  | 7 November 1975 | Feb 1979 | Bir Uttom | East Bengal Regiment | BDF War Commander 1971 |
| 6th | Lieutenant General Hussain Mohammad Ershad |  | Feb 1979 | Aug 1986 | psc | East Bengal Regiment | Repatriated |
| 7th | Lieutenant General Atiqur Rahman |  | 1 September 1986 | August 1990 |  | Regiment of Artillery | Repatriated |
| 8th | Lieutenant General Nuruddin Khan |  | November 1990 | June 1994 |  | Corps of Engineers | Repatriated |
| 9th | Lieutenant General Abu Saleh Mohammad Nasim |  | June 1994 | June 1996 | Bir Bikram | East Bengal Regiment | BDF Officer 1971 |
| 10th | Lieutenant General Muhammad Mahbubur Rahman |  | May 1996 | December 1997 |  | Corps of Engineers | Repatriated |
| 11th | General Mustafizur Rahman |  | 24 December 1997 | 23 December 2000 | Bir Protik | Corps of Engineers | Freedom Fighter |
| 12th | Lieutenant General M Harun-Ar-Rashid |  | 24 December 2000 | 16 June 2002 | Bir Protik | East Bengal Regiment | BDF Officer 1971 |
| 13th | Lieutenant General Hasan Mashhud Chowdhury |  | 16 June 2002 | 15 June 2005 | awc, psc | Frontier Force Regiment | Repatriated |
| 14th | General Moeen U Ahmed |  | 15 June 2005 | 15 June 2009 | ndc, psc | East Bengal Regiment | After independence |
| 15th | General Md Abdul Mubeen |  | 15 June 2009 | 25 June 2012 | ndc, psc | East Bengal Regiment | After independence |
| 16th | General Iqbal Karim Bhuiyan |  | 25 June 2012 | 25 June 2015 | psc | East Bengal Regiment | After independence |
| 17th | General Abu Belal Muhammad Shafiul Huq |  | 25 June 2015 |  | PhD, ndc, psc | Armoured Corps | After independence |
