# Common Inorganic Ligands  Formulas (donor atom noted) and Charges

| Ligand | Formula (donor atom indicated) | Charge |
| --- | --- | --- |
| Aqua (water) | H2O (O-donor) | 0 |
| Hydroxido | OH− (O-donor) | −1 |
| Oxido | O2− (O-donor) | −2 |
| Fluorido | F− (F-donor) | −1 |
| Chlorido | Cl− (Cl-donor) | −1 |
| Bromido | Br− (Br-donor) | −1 |
| Iodido | I− (I-donor) | −1 |
| Cyanido | CN− (C-donor) | −1 |
| Thiocyanato (N-bound) | NCS− (N-donor) | −1 |
| Thiocyanato (S-bound) | SCN− (S-donor) | −1 |
| Carbonyl | CO (C-donor) | 0 |
| Nitrosyl (linear) | NO+ (N-donor) | +1 |
