# List of Australian Football League players with 200 games for one club
> Sydney Swans / South Melbourne Football Club

| Name | Career span | Games |
| --- | --- | --- |
| Adam Goodes | 1999–2015 | 372 |
| Jude Bolton | 1999–2013 | 325 |
| Michael O'Loughlin | 1995–2009 | 303 |
| Ryan O'Keefe | 2000–2014 | 286 |
| Jarrad McVeigh | 2004– | 286 |
| John Rantall | 1963–1979 | 260 |
| Mark Browning | 1975–1987 | 251 |
| Mark Bayes | 1985–1998 | 246 |
| Stephen Wright | 1979–1992 | 246 |
| Daryn Cresswell | 1992–2003 | 244 |
| Brett Kirk | 1999–2010 | 241 |
| Leo Barry | 1995–2009 | 237 |
| Bob Skilton | 1956–1971 | 237 |
| Paul Kelly | 1990–2002 | 234 |
| Ron Clegg | 1945–1960 | 231 |
| Tony Morwood | 1978–1989 | 229 |
| Ted Richards | 2006–2016 | 228 |
| Jack Graham | 1935–1949 | 227 |
| Vic Belcher | 1907–1920 | 226 |
| Jared Crouch | 1998–2009 | 223 |
| Jim Cleary | 1934–1948 | 222 |
| Dennis Carroll | 1981–1993 | 219 |
| Rod Carter | 1980–1990 | 217 |
| Andrew Dunkley | 1992–2002 | 217 |
| David McLeish | 1969–1980 | 213 |
| Heath Grundy | 2006– | 212 |
| Kieren Jack | 2007– | 206 |
| Mark Tandy | 1911–1926 | 207 |
| Stuart Maxfield | 1996–2005 | 200 |
