# Selected Felony Offense Examples by State (Charge Names Without Penalty Ranges)

| State | Example felony charge | Statute reference (short) | Common label | Typical fact pattern | Penalty stated? |
|---|---|---|---|---|---|
| California | Residential burglary | Penal Code §459/§460 | "First-degree burglary" | Entering inhabited dwelling to commit theft | No |
| Texas | Aggravated assault (serious bodily injury) | Penal Code §22.02 | "Second-degree felony" | Assault causing SBI or using a deadly weapon | No |
| New York | Grand larceny (higher tiers) | Penal Law Art. 155 | "Grand larceny" | Theft above statutory thresholds | No |
| Florida | Possession of controlled substance (varies) | Ch. 893 | "Third-degree felony" | Possession of certain drugs without prescription | No |
| Illinois | Unlawful use of a weapon by a felon | 720 ILCS 5/24-1.1 | "UUWF" | Firearm possession after felony conviction | No |
| Georgia | Burglary (varies) | O.C.G.A. §16-7-1 | "Burglary" | Entering building without authority to commit felony/theft | No |
| Washington | Identity theft (higher degree) | RCW 9.35 | "Identity theft" | Using another’s identity for financial gain | No |
| Arizona | Drug trafficking (varies) | A.R.S. Title 13 | "Transportation for sale" | Transporting drugs with intent to sell | No |
| Colorado | Motor vehicle theft | C.R.S. 18-4-409 | "Aggravated MVT" | Taking vehicle or parts under certain conditions | No |
| Pennsylvania | Robbery (higher grades) | 18 Pa.C.S. §3701 | "Robbery" | Theft with force or threat | No |
