# Most Fuel-Efficient SUVs by Combined MPG (Ranked Top List)

| Rank | SUV Model | Drivetrain | EPA Combined MPG | Notes |
|---:|---|---|---:|---|
| 1 | Toyota RAV4 Hybrid (LE) | AWD | 40 | Hybrid compact SUV |
| 2 | Honda CR-V Hybrid | AWD | 38 | Hybrid compact SUV |
| 3 | Hyundai Tucson Hybrid | AWD | 37 | Hybrid compact SUV |
| 4 | Kia Sportage Hybrid | AWD | 37 | Hybrid compact SUV |
| 5 | Ford Escape Hybrid | FWD | 41 | Hybrid compact SUV |
| 6 | Lexus NX 350h | AWD | 39 | Luxury hybrid compact SUV |
| 7 | Toyota Venza | AWD | 39 | Hybrid midsize crossover |
| 8 | Subaru Crosstrek Hybrid | AWD | 35 | Plug-in hybrid (gas-mode varies) |
| 9 | Lexus RX 500h | AWD | 27 | Performance-oriented hybrid |
| 10 | Jeep Grand Cherokee 4xe | 4WD | 23 | Plug-in hybrid; MPG shown for gas operation |
