# YouTube Awards
> 2007 Awards

| Category | Nominated Videos | YouTube Link | YouTube User |
| --- | --- | --- | --- |
| Inspirational | Free Hugs Campaign | Video | PeaceOnEarth123 |
| Inspirational | Heather Martin - When Are You Coming Home | Video | Bye2Love |
| Inspirational | 9 months of gestation in 20 seconds - New Version! | Video | Matt Pressnall |
| Inspirational | Good bye Martin | Video | MHarris1920 |
| Inspirational | Love Letters - An Animated Proposal - v2.0 | Video | worldofjeff |
| Inspirational | A Girl Like Me | Video | bfnmusic |
| Inspirational | Why Walk 1000 Miles?(original edit) | Video | taragolden |
| Inspirational | We Are All The Same | Video | bbenefiel |
| Inspirational | Heaven | Video | tobeornot2b |
| Inspirational | What are You thankful for? | Video | nyOPERAguy |
