# Ultimate X match
> Ultimate X matches

| No. | Match (if no championship is listed, then that means the big red "X" was the prize for the match) | Event, Date and Location |
| --- | --- | --- |
| 1 | Michael Shane defeated Chris Sabin (c) and Frankie Kazarian to win the TNA X Division Championship | Weekly PPV 58 August 20, 2003 Nashville, Tennessee |
| 2 | Chris Sabin defeated Michael Shane (c), Christopher Daniels and Low Ki to win the TNA X Division Championship | Weekly PPV 76 January 7, 2004 Nashville, Tennessee |
| 3 | Chris Sabin ( Team TNA ) defeated Petey Williams ( Team Canada ) and Hector Garza ( Team Mexico ) to win the 2004 TNA World X Cup | Weekly PPV 96 May 26, 2004 Nashville, Tennessee |
| 4 | Michael Shane and Frankie Kazarian defeated A.J. Styles (c) to become TNA X Division co-champions | Weekly PPV 105 July 28, 2004 Nashville, Tennessee |
| 5 | Chris Sabin defeated Elix Skipper and Sonjay Dutt to become the number one contender to the TNA X Division Championship | The Best Damn Sports Show Period November 10, 2004 Orlando, Florida |
| 6 | A.J. Styles defeated Petey Williams (c) and Chris Sabin to win the TNA X Division Championship | Final Resolution January 16, 2005 Orlando, Florida |
| 7 | Christopher Daniels defeated A.J. Styles (c), Elix Skipper and Ron Killings to win the TNA X Division Championship | Destination X March 13, 2005 Orlando, Florida |
| 8 | Petey Williams defeated Matt Bentley (Michael Shane) and Chris Sabin to become the number one contender to the TNA X Division Championship | Bound for Glory October 23, 2005 Orlando, Florida |
| 9 | Petey Williams defeated Matt Bentley and Chris Sabin to become the number one contender to the TNA X Division Championship | TNA Impact! November 3, 2005 Orlando, Florida |
| 10 | Christopher Daniels defeated Samoa Joe (c) and A.J. Styles to win the TNA X Division Championship | Destination X March 12, 2006 Orlando, Florida |
| 11 | A.J. Styles and Christopher Daniels defeated The Latin American Exchange ( Homicide and Hernandez ) to win the NWA World Tag Team Championship | No Surrender September 24, 2006 Orlando, Florida |
| 12 | Christopher Daniels defeated Jay Lethal , Kaz (Frankie Kazarian), Homicide, Sonjay Dutt, Shark Boy , Elix Skipper, Puma , Senshi (Low-Ki) and Petey Williams to become the number one contender to the TNA X Division Championship | Victory Road July 15, 2007 Orlando, Florida |
| 13 | The Latin American Exchange (Homicide and Hernandez) defeated Triple X (Senshi and Elix Skipper) to become the number one contenders to the TNA World Tag Team Championship | Bound for Glory October 14, 2007 Atlanta, Georgia |
| 14 | Team 3D ( Brother Ray and Brother Devon ) and Johnny Devine defeated Jay Lethal and The Motor City Machine Guns ( Alex Shelley and Chris Sabin) | Final Resolution January 6, 2008 Orlando, Florida |
| 15 | Volador Jr. (Team Mexico) defeated Daivari ( Team International ), Kaz (Team TNA) and Naruki Doi ( Team Japan ) to win the 2008 TNA World X Cup Tournament | Victory Road July 13, 2008 Houston, Texas |
| 16 | Suicide (Christopher Daniels) defeated Alex Shelley (c), Chris Sabin, Jay Lethal and Consequences Creed to win the TNA X Division Championship | Destination X March 15, 2009 Orlando, Florida |
| 17 | Amazing Red (c) defeated Homicide, Daniels, Suicide (Frankie Kazarian), Alex Shelley and Chris Sabin to retain the TNA X Division Championship | Bound for Glory October 18, 2009 Irvine, California |
| 18 | The Motor City Machine Guns (Alex Shelley and Chris Sabin) defeated Lethal Consequences (Jay Lethal and Consequences Creed) to become the number one contenders to the TNA World Tag Team Championship | TNA Impact! October 22, 2009 Orlando, Florida |
| 19 | Doug Williams (c) defeated Daniels, Suicide, Amazing Red and Chris Sabin to retain the TNA X Division Championship | Live event January 30, 2010 London , England [4] |
