# Aqueous Solutions and Acids — Specific Gravity (SG) at Stated Temperature (Lookup List)

| Liquid (aqueous unless noted) | Reference Temperature (°C) | Specific Gravity (SG) |
|---|---:|---:|
| Ammonia solution (10% w/w) | 20 | 0.96 |
| Sodium chloride brine (10% w/w) | 20 | 1.07 |
| Sodium hydroxide solution (20% w/w) | 20 | 1.22 |
| Hydrochloric acid (10% w/w) | 20 | 1.05 |
| Sulfuric acid (20% w/w) | 20 | 1.14 |
| Phosphoric acid (30% w/w) | 20 | 1.21 |
| Acetic acid (glacial) | 20 | 1.05 |
| Hydrogen peroxide (30% w/w) | 20 | 1.11 |
| Calcium chloride brine (20% w/w) | 20 | 1.18 |
| Propylene glycol in water (50% v/v) | 20 | 1.04 |
| Ethylene glycol in water (50% v/v) | 20 | 1.07 |
| Sodium hypochlorite (bleach, ~5% available chlorine) | 20 | 1.08 |
