# Lancashire GAA
> Clubs

| Name (Irish) | Name (English) | Sport | Teams | Location | Pitch |
| --- | --- | --- | --- | --- | --- |
| Cumann Peile Uilf Tóin Learpholl | Wolfe Tones | Football | Men / Ladies | Liverpool | Wavertree Park [3] |
| Cumann Lúthchleas Gael Séan Mistéil | John Mitchel's | Football | Men / Ladies | Liverpool | Greenbank [4] |
| Ellan Vannin Gaels | Isle of Man Gaels | Football | Men | Isle of Man | GAA Grounds, Douglas [5] |
| Fullen Gaels Hurling | Fullen Gaels | Hurling / Camogie | Men / Ladies | Manchester | Hough Grounds [6] |
| Naomh Ánna | St Ann's | Football | Men | Manchester | Turn Moss [7] |
| Naomh Bréanainn | St Brendan's | Football | Men | Manchester | Hough Grounds [8] |
| Naomh Lábhrais na Piarsaigh | St Lawrence's | Football | Men | Manchester | Turn Moss [9] |
| Naomh Pádraig | St Patrick's | Football | Men | Chester | Blacon Avenue [10] |
| Naomh Peadar | St Peter's | Football | Men | Manchester | Hough Grounds [11] |
| Cumann Lúthchleas Gael Oisín | Oisín's | Football | Men / Ladies | Manchester | Old Bedians [12] |
