# Average Element Concentrations in Igneous Rocks (ppm by mass)

| Element | Symbol | Basalt (ppm) | Andesite (ppm) | Granite (ppm) | Units |
|---|---|---:|---:|---:|---|
| Nickel | Ni | 150 | 30 | 5 | ppm |
| Chromium | Cr | 250 | 40 | 10 | ppm |
| Cobalt | Co | 45 | 15 | 3 | ppm |
| Vanadium | V | 200 | 120 | 20 | ppm |
| Strontium | Sr | 400 | 350 | 100 | ppm |
| Barium | Ba | 150 | 500 | 800 | ppm |
| Zirconium | Zr | 100 | 180 | 250 | ppm |
| Rubidium | Rb | 10 | 50 | 150 | ppm |
| Uranium | U | 0.2 | 1.0 | 4.0 | ppm |
| Thorium | Th | 0.5 | 4.0 | 15.0 | ppm |
