# Least Populous Countries and Dependent Territories (Ascending Order, Selected Micro-Populations)

| Rank (smallest→larger) | Country / Territory | Status | Estimated population |
|---:|---|---|---:|
| 1 | Pitcairn Islands | British Overseas Territory | 56 |
| 2 | Vatican City | Sovereign city-state | 842 |
| 3 | Tokelau | Territory of New Zealand | 1,100 |
| 4 | Niue | Self-governing in free association with New Zealand | 1,500 |
| 5 | Montserrat | British Overseas Territory | 4,900 |
| 6 | Saint Helena, Ascension and Tristan da Cunha | British Overseas Territory | 5,600 |
| 7 | Falkland Islands | British Overseas Territory | 3,140 |
| 8 | Nauru | Sovereign state | 12,500 |
| 9 | Tuvalu | Sovereign state | 11,200 |
| 10 | Palau | Sovereign state | 18,000 |

**Note:** Entries are listed from the smallest populations upward; figures are approximate estimates for comparison.
