# Chipotle Mexican Grill Nutrition  Calories per Menu Item (Per Standard Serving)

| Menu item (branded) | Serving basis | Calories (kcal) |
| --- | --- | --- |
| Chicken Burrito Bowl | 1 bowl (standard build) | 650 |
| Steak Burrito Bowl | 1 bowl (standard build) | 710 |
| Sofritas Burrito Bowl | 1 bowl (standard build) | 640 |
| Chicken Burrito | 1 burrito (standard build) | 860 |
| Barbacoa Burrito | 1 burrito (standard build) | 910 |
| Chicken Quesadilla | 1 quesadilla | 930 |
| Chips & Guacamole | 1 order | 770 |
| Chips & Queso Blanco | 1 order | 780 |
| Guacamole (side) | 1 side | 230 |
| Chips (side) | 1 side | 540 |
