# Kent School Holiday Dates by Local Authority Area (Summary Calendar View)

| Break period | Key date (single day) | Notes |
| --- | --- | --- |
| Autumn Term begins | 01 Sep 2016 | Start of term for most maintained schools |
| Autumn Half Term | 17 Oct 2016 | First day of half-term week |
| Autumn Term resumes | 31 Oct 2016 | Pupils return |
| Christmas Holiday | 19 Dec 2016 | First day off (typical) |
| Spring Term begins | 04 Jan 2017 | Pupils return |
| Spring Half Term | 13 Feb 2017 | First day of half-term week |
| Easter Holiday | 03 Apr 2017 | First day off |
| Summer Half Term | 29 May 2017 | First day off |
| Summer Holiday | 24 Jul 2017 | First day off |
| Autumn Term begins | 01 Sep 2017 | Next academic year start (indicative) |
