# Birmingham City Council — Term Dates (Area-Wide) with Featured School Calendar Spotlight

| Category | Term / Holiday | Start Date | End Date | Applies To |
| --- | --- | --- | --- | --- |
| Local authority calendar | Autumn Term | 2024-09-02 | 2024-10-25 | Birmingham (maintained schools) |
| Local authority calendar | Autumn Half Term | 2024-10-28 | 2024-11-01 | Birmingham (maintained schools) |
| School spotlight | King Edward VI Camp Hill School for Boys | 2024-09-05 | 2024-10-18 | Specific school dates |
| School spotlight | King Edward VI Camp Hill School for Boys (Half Term) | 2024-10-21 | 2024-10-25 | Specific school dates |
| Local authority calendar | Christmas Holiday | 2024-12-23 | 2025-01-03 | Birmingham (maintained schools) |
| School spotlight | Bishop Challoner Catholic College (Christmas) | 2024-12-20 | 2025-01-06 | Specific school dates |
| Local authority calendar | Spring Half Term | 2025-02-17 | 2025-02-21 | Birmingham (maintained schools) |
| School spotlight | Ninestiles, an Academy | 2025-02-10 | 2025-02-14 | Specific school dates |
| Local authority calendar | Summer Holiday | 2025-07-21 | 2025-09-01 | Birmingham (maintained schools) |
