# All Indian States and Union Territories with Capitals (Footnotes and Alternative Names Included)

| No. | State/Union Territory | Capital |
| --- | --- | --- |
| 1 | Andaman and Nicobar Islands (UT) | Port Blair[a] |
| 2 | Andhra Pradesh | Hyderabad[b] (initial), Amaravati (planned) |
| 3 | Arunachal Pradesh | Itanagar |
| 4 | Assam | Dispur (part of Guwahati metro) |
| 5 | Dadra and Nagar Haveli and Daman and Diu (UT) | Daman, Silvassa |
| 6 | Delhi (NCT) | New Delhi[c] |
| 7 | Puducherry (UT) | Puducherry (formerly Pondicherry) |
| 8 | Jammu and Kashmir (UT) | Srinagar/Jammu[d] |
| 9 | Ladakh (UT) | Leh (also Kargil proposed) |
