# Terrain and Elevation Bands Inside City Regions (Percent of Area)

| City Region | Elevation Band | Terrain Type | Area Share (%) | Dominant Land Cover | Notes |
| --- | --- | --- | ---: | --- | --- |
| Los Angeles Basin | 0–200 m | Coastal plain | 34 | Urban | Marine layer influence |
| Los Angeles Basin | 200–800 m | Foothills | 27 | Chaparral | Fire-prone |
| Los Angeles Basin | 800–2000 m | Mountains | 22 | Forest | Snow at highest peaks |
| Los Angeles Basin | 2000+ m | High alpine | 3 | Rock/ice | Limited area |
| Atlanta Metro | 200–350 m | Piedmont | 41 | Mixed forest | Rolling hills |
| Atlanta Metro | 350–600 m | Uplands | 29 | Suburban/forest | Slightly cooler nights |
| Atlanta Metro | 600+ m | Ridges | 6 | Forest | Local microclimates |
| Las Vegas Valley | 500–800 m | Desert basin | 62 | Desert scrub | Heat island |
| Las Vegas Valley | 800–1500 m | Desert foothills | 19 | Shrubland | Cooler evenings |
| Las Vegas Valley | 1500+ m | Mountain zones | 7 | Pine forest | Snow possible |
