# ABA Routing Number Prefixes by Federal Reserve City

| Prefix | Federal Reserve City | Primary Area Covered |
| --- | --- | --- |
| 01 | Boston | New England region |
| 02 | New York | New York metro and nearby states |
| 03 | Philadelphia | Mid-Atlantic corridor |
| 04 | Cleveland | Ohio Valley |
| 05 | Richmond | Southeast Atlantic |
| 06 | Atlanta | Deep South |
| 07 | Chicago | Upper Midwest |
| 08 | St. Louis | Central U.S. |
| 09 | San Francisco | West Coast |
| 10 | Kansas City | Plains states |
| 11 | Dallas | Texas and surrounding |
| 12 | Los Angeles | Southern California and Southwest |
