# Biblical Baby Names (Hebrew Christian Tradition)  Meaning and Scriptural Association

| Name | Gender | Tradition/Origin | Meaning / Message | Biblical Context (Person/Role) | Primary Reference |
| --- | --- | --- | --- | --- | --- |
| Hannah | Girl | Hebrew/Jewish | Grace; favor | Mother of the prophet Samuel; prayer answered | 1 Samuel 1 |
| Samuel | Boy | Hebrew/Jewish | Heard by God | Prophet and judge who anointed kings | 1 Samuel 3 |
| Ruth | Girl | Hebrew/Jewish | Companion; friend | Moabite convert; model of loyalty | Ruth 1 |
| Naomi | Girl | Hebrew/Jewish | Pleasantness | Ruth’s mother-in-law; restoration theme | Ruth 1 |
| Esther | Girl | Jewish (Persian court) | Star | Queen who saves her people | Esther 4 |
| Deborah | Girl | Hebrew/Jewish | Bee | Prophetess and judge; leadership | Judges 4 |
| Elijah | Boy | Hebrew/Jewish | My God is YHWH | Major prophet; confronts idolatry | 1 Kings 18 |
| Isaiah | Boy | Hebrew/Jewish | YHWH is salvation | Prophet; messianic hope | Isaiah 7 |
| Mary (Miriam) | Girl | Jewish/Christian | Beloved; bitter (traditional etymologies) | Mother of Jesus | Luke 1 |
| Joseph | Boy | Hebrew/Jewish/Christian | He will add; increase | Husband of Mary; protector | Matthew 1 |
| Peter | Boy | Christian (Greek) | Rock; stone | Apostle; early church leader | Matthew 16 |
| Paul | Boy | Christian (Latin/Greek) | Small; humble | Apostle to the Gentiles | Acts 9 |
