# Building society
> List of building societies

| Name | Fate | Successor | Year | Current position |
| --- | --- | --- | --- | --- |
| Abbey National | converted to plc | Santander | 1989 | The new bank, also known as "Abbey", was acquired by Banco Santander and now rebranded as Santander . |
| Cheltenham and Gloucester | was taken over by | Lloyds Bank plc | 1994 | Became part of Lloyds TSB , although C&G still had a branch network which became part of TSB Bank plc in summer 2013. |
| National & Provincial Building Society | was taken over by | Abbey National plc | 1995 | Business merged into Abbey National (now Santander ), name no longer used. |
| Alliance & Leicester | converted to plc | Santander | 1997 | Acquired by Banco Santander , which also owns Abbey, in October 2008, and merged into Santander in 2010. |
| Bristol and West | was taken over by | the Bank of Ireland | 1997 | Became a division of Bank of Ireland but its savings balances and branch network transferred to the Britannia Building Society in 2005 (which in turn merged with Co-operative Financial Services in 2009). Bristol & West mortgages ceased trading on 10 January 2009. [16] |
| Halifax | converted to plc |  | 1997 | Became part of HBOS in 2001, which itself became part of Lloyds Banking Group in 2009. Trading name still in use. |
| Northern Rock | converted to plc | Virgin Money | 1997 | Nationalised following near bankruptcy in February 2008, due to the 2007 financial crisis . Bought by Virgin Money in January 2012. [17] |
| The Woolwich | converted to plc | Barclays | 1997 | Now part of Barclays plc . Woolwich brand name now only used for mortgages from Barclays with the Woolwich branch network merging with that of Barclays in 2007. |
| Birmingham Midshires | was taken over by | Halifax plc | 1999 | Now owned by Lloyds Banking Group . The brand name is still retained, but running entirely by post and internet. |
| Bradford & Bingley | converted to plc |  | 2000 | Nationalisation with sale of savings book to Abbey (now Santander ). |
