# Signers of Founding-Era Documents (with Occasional 'President' Mentions)

| Document | Signer | State | Role at signing | Later/other title referenced |
|---|---|---|---|---|
| Declaration of Independence | John Hancock | Massachusetts | Delegate | President of the Continental Congress |
| Articles of Confederation | John Hanson | Maryland | Delegate | President of Congress (in popular histories) |
| U.S. Constitution | Nathaniel Gorham | Massachusetts | Delegate | Former President of Congress |
| U.S. Constitution | Thomas Mifflin | Pennsylvania | Delegate | Former President of Congress |
| U.S. Constitution | Richard Henry Lee | Virginia | (Not a signer) | Former President of Congress (1784–1785) |
| U.S. Constitution | Benjamin Franklin | Pennsylvania | Delegate | President of Pennsylvania (state office) |
| U.S. Constitution | George Washington | Virginia | Presiding officer | Future U.S. President |
| U.S. Constitution | James Madison | Virginia | Delegate | Future U.S. President |
| U.S. Constitution | Alexander Hamilton | New York | Delegate | Founder; Treasury Secretary |
