# Panama Passport Fees by Page Count (Non-U.S. Passport Pricing)

| Applicant Category | 32-Page Passport | 64-Page Passport | Validity | Notes |
| --- | ---: | ---: | --- | --- |
| Regular Adult | $100 | $180 | 5 years | Standard issuance |
| Student | $80 | $150 | 5 years | Requires enrollment proof |
| Retired | $50 | $90 | 5 years | Age-based eligibility |
| Government Employee | $70 | $130 | 5 years | Employment verification |
| Lost Passport Replacement | $120 | $200 | 5 years | Additional penalty included |
| Damaged Passport Replacement | $110 | $190 | 5 years | Inspection required |
| Urgent Issuance | $160 | $240 | 5 years | Faster local processing |
| Express Pickup | $20 | $20 | — | Pickup add-on fee |
| Delivery Service | $15 | $15 | — | Courier add-on |
