# List of Australian Football League players with 200 games for one club
> Carlton Football Club

| Name | Career span | Games |
| --- | --- | --- |
| Craig Bradley | 1986–2002 | 375 |
| Bruce Doull | 1969–1986 | 356 |
| John Nicholls | 1957–1974 | 328 |
| Stephen Silvagni | 1985–2001 | 312 |
| Justin Madden | 1983–1996 | 287 |
| Anthony Koutoufides | 1992–2007 | 278 |
| Geoff Southby | 1971–1984 | 268 |
| Kade Simpson | 2003– | 264 |
| David McKay | 1969–1981 | 263 |
| Alex Jesaulenko | 1967–1979 | 256 |
| Brett Ratten | 1990–2003 | 255 |
| Stephen Kernahan | 1986–1997 | 251 |
| Peter Jones | 1966–1979 | 249 |
| Peter Dean | 1984–1998 | 248 |
| Andrew McKay | 1993–2003 | 244 |
| Mark Maclure | 1974–1986 | 243 |
| Sergio Silvagni | 1958–1971 | 239 |
| Rod McGregor | 1905–1920 | 236 |
| Rod Ashman | 1973–1986 | 236 |
| Scott Camporeale | 1995–2005 | 233 |
| Rod Austin | 1972–1985 | 220 |
| Robert Walls | 1967–1978 | 218 |
| Tom Alvin | 1984–1994 | 218 |
| Lance Whitnall | 1997–2007 | 216 |
| Heath Scotland | 2004-2014 | 215 |
| Marc Murphy | 2006– | 214 |
| Ken Hands | 1945–1957 | 211 |
| Bryce Gibbs | 2007–2016 | 209 |
| Wayne Johnston | 1979–1990 | 209 |
| Trevor Keogh | 1970–1981 | 208 |
| Frank Gill | 1929–1942 | 205 |
| Harry Vallence | 1926–1938 | 204 |
| Barry Armstrong | 1969–1981 | 204 |
| Andrew Walker | 2004–2016 | 202 |
| Ryan Houlihan | 2000–2011 | 201 |
| Michael Sexton | 1990–2000 | 200 |
