# U.S. Debt Contract Limitation Periods (Years) by State — Written vs Oral Agreements

| Region | State | Oral agreement (years) | Written agreement (years) | Account stated / open account (years) | Promissory note (years) |
| --- | --- | ---: | ---: | ---: | ---: |
| West | Oregon | 6 | 6 | 6 | 6 |
| West | Washington | 3 | 6 | 3 | 6 |
| West | Idaho | 4 | 5 | 4 | 5 |
| West | Utah | 4 | 6 | 4 | 6 |
| Southwest | New Mexico | 4 | 6 | 4 | 6 |
| Plains | Kansas | 3 | 5 | 3 | 5 |
| Plains | Nebraska | 4 | 5 | 4 | 5 |
| Midwest | Michigan | 6 | 6 | 6 | 6 |
| Midwest | Wisconsin | 6 | 6 | 6 | 6 |
| South | Texas | 4 | 4 | 4 | 4 |
| South | North Carolina | 3 | 3 | 3 | 3 |
| South | Virginia | 3 | 5 | 3 | 6 |
| Northeast | Massachusetts | 6 | 6 | 6 | 6 |
| Northeast | Pennsylvania | 4 | 4 | 4 | 4 |
