# Consumer Debt Collection Limits by State (Credit Cards, Medical, Personal Loans)

| State | Credit card (years) | Medical debt (years) | Written contract (years) | Notes |
|---|---:|---:|---:|---|
| California | 4 | 4 | 4 | Statute of limitations varies by claim type |
| Florida | 4 | 5 | 5 | Open accounts often shorter |
| Texas | 4 | 4 | 4 | Common for consumer accounts |
| New York | 3 | 3 | 6 | Recent reforms shortened some periods |
| Illinois | 5 | 5 | 10 | Written contracts longer |
| Oregon | 6 | 6 | 6 | Generally uniform |
| Nevada | 4 | 4 | 6 | Promissory notes may differ |
| Utah | 4 | 4 | 6 | Some categories differ |
| Ohio | 6 | 6 | 8 | Partial payments can restart clock |
