# LINDOR Truffles  Flavour Map by Chocolate Type (Dark, Milk, White)

| Chocolate type | Flavour | Wrapper colour | Sweetness level | Short description |
|---|---|---|---|---|
| Dark | Extra Dark 60% | Black | Low | Intense dark shell with rich dark center |
| Dark | Dark Chocolate | Blue | Medium-low | Classic smooth dark truffle |
| Dark | Dark Mint | Black with Green | Low | Dark chocolate with mint infusion |
| Milk | Milk Chocolate | Red | Medium | Creamy milk-chocolate truffle |
| Milk | Caramel | Beige | Medium-high | Sweet caramel center in milk shell |
| Milk | Hazelnut | Gold | Medium | Nutty praline-like truffle |
| White | White Chocolate | White | High | Sweet white-chocolate truffle |
| White | Stracciatella | Light Blue | High | White shell with cocoa bits and smooth filling |
| Mixed | Neapolitan | Tri-colour | Medium-high | Strawberry/vanilla/chocolate style center |
| Specialty | Irish Cream | Light Pink | Medium | Creamy liqueur-style notes |
