# Electron-Domain Arrangements by Steric Number (No Molecular Shape Mapping)

| Steric number (electron domains) | Electron-domain arrangement | Idealized angles | Notes |
| --- | --- | --- | --- |
| 2 | Linear | 180° | Two electron domains |
| 3 | Trigonal planar | 120° | Three electron domains |
| 4 | Tetrahedral | 109.5° | Four electron domains |
| 5 | Trigonal bipyramidal | 90°, 120°, 180° | Axial/equatorial positions |
| 6 | Octahedral | 90°, 180° | Six electron domains |
| 7 | Pentagonal bipyramidal | 72°, 90°, 180° | Less common |
| 8 | Square antiprismatic | ~70–90° (varies) | Common in some complexes |
| 9 | Tricapped trigonal prismatic | varies | High coordination |
| 10 | Bicapped square antiprismatic | varies | High coordination |
| 12 | Icosahedral | varies | Dense packing |
