# Adobe Enterprise, Marketing, and Experience Products (High-Level Lineup)

| Product family | Product name | Part of | Typical use case |
| --- | --- | --- | --- |
| Experience Cloud (Analytics) | Adobe Analytics | Adobe Experience Cloud | Web/app analytics & reporting |
| Experience Cloud (Tagging) | Adobe Experience Platform Launch | Adobe Experience Cloud | Tag management & data collection |
| Experience Cloud (Personalization) | Adobe Target | Adobe Experience Cloud | A/B testing & personalization |
| Experience Cloud (Campaigns) | Adobe Campaign | Adobe Experience Cloud | Cross-channel campaign management |
| Experience Cloud (Automation) | Adobe Marketo Engage | Adobe Experience Cloud | B2B marketing automation |
| Experience Cloud (Commerce) | Adobe Commerce (Magento) | Adobe Experience Cloud | E-commerce platform |
| Experience Cloud (CMS) | Adobe Experience Manager (AEM) Sites | Adobe Experience Cloud | Web content management |
| Experience Cloud (Assets) | AEM Assets | Adobe Experience Cloud | Digital asset management |
| Experience Cloud (CDP) | Real-Time CDP | Adobe Experience Platform | Unified customer profiles & activation |
| Experience Cloud (Data platform) | Adobe Experience Platform | Adobe Experience Cloud | Data ingestion, identity, segmentation |
| Enterprise (Collaboration) | Adobe Workfront | Adobe Experience Cloud | Work management for teams |
| Enterprise (B2B data) | Adobe Commerce Intelligence | Adobe Experience Cloud | Commerce analytics & insights |
| Publishing/Output | Adobe FrameMaker | Adobe (technical publishing) | Structured authoring & long documents |
| eLearning | Adobe Captivate | Adobe (eLearning) | Course authoring & simulations |
