# Common Ionic Charges by Group (General Rules, Not Specific Ion Formulas)

| Periodic Table Group | Representative Elements | Typical Ion Charge | How Charge Is Determined | Common Exceptions |
|---:|---|---:|---|---|
| 1 | Li, Na, K | +1 | Lose 1 electron | H can be -1 in hydrides |
| 2 | Be, Mg, Ca | +2 | Lose 2 electrons | Transition metals vary |
| 13 | Al, Ga | +3 | Lose 3 electrons | Tl often +1 |
| 15 | N, P | -3 | Gain 3 electrons | N has multiple oxidation states |
| 16 | O, S | -2 | Gain 2 electrons | Peroxides involve -1 on O |
| 17 | F, Cl, Br, I | -1 | Gain 1 electron | Cl/Br/I can be positive in oxo-species |
| 18 | He, Ne, Ar | 0 | Generally inert | Xe forms compounds |
| Transition Metals | Fe, Cu, Ag | Variable | Multiple oxidation possibilities | Requires context |
| Lanthanides | La, Ce, Nd | +3 | Common stable state | Some +2/+4 cases |
