# Global Central Bank Policy Rates (Selected Countries)

| Central bank | Country/Region | Key policy rate | Rate (%) |
| --- | --- | --- | --- |
| Federal Reserve (Fed) | United States | Federal funds target (upper bound) | 5.50 |
| European Central Bank (ECB) | Euro Area | Main refinancing operations (MRO) | 4.50 |
| Bank of England (BoE) | United Kingdom | Bank Rate | 5.25 |
| Bank of Japan (BoJ) | Japan | Policy-rate balance | -0.10 |
| Reserve Bank of Australia (RBA) | Australia | Cash rate target | 4.35 |
| Bank of Canada (BoC) | Canada | Target for the overnight rate | 5.00 |
| Banco Central do Brasil (BCB) | Brazil | Selic target | 10.50 |
| Reserve Bank of India (RBI) | India | Repo rate | 6.50 |
| Swiss National Bank (SNB) | Switzerland | SNB policy rate | 1.75 |
