# Ahmedabad Localities with Telephone STD Codes and Zones (No Postal PIN Column)

| Locality/Area | Telephone STD Code | AMC Zone | State |
| --- | --- | --- | --- |
| Navrangpura | 079 | West Zone | Gujarat |
| Maninagar | 079 | South Zone | Gujarat |
| Bopal | 079 | West Zone | Gujarat |
| Chandkheda | 079 | North West Zone | Gujarat |
| Satellite | 079 | West Zone | Gujarat |
| Sarkhej | 079 | South West Zone | Gujarat |
| Shahibaug | 079 | North Zone | Gujarat |
| Naroda | 079 | East Zone | Gujarat |
| Vastral | 079 | East Zone | Gujarat |
