# State Income Tax Extension Deadlines (Selected States) — Extension Request Due Date and Extended Filing Deadline

| State | Original Spring Due Date (Typical) | State Extension Request Due Date | Extended Return Filing Deadline | Extension Length | Notes (What the extension applies to) |
|---|---|---|---|---|---|
| California | Apr 15 | Automatic (no request) | Oct 15 | 6 months | Extension is for filing; payment still due by original due date |
| New York | Apr 15 | Apr 15 | Oct 15 | 6 months | Must file state extension form if you need extra time to file |
| Massachusetts | Apr 15 | Apr 15 | Oct 15 | 6 months | Extension typically requires filing a state extension and meeting payment thresholds |
| Arizona | Apr 15 | Apr 15 | Oct 15 | 6 months | Extension request due by original due date |
| Colorado | Apr 15 | Automatic (no request) | Oct 15 | 6 months | Filing extension is automatic; payment due by original due date |
| Utah | Apr 15 | Apr 15 | Oct 15 | 6 months | Extension request due by original due date |
| Wisconsin | Apr 15 | Apr 15 | Oct 15 | 6 months | Extension extends time to file, not time to pay |
| Oregon | Apr 15 | Apr 15 | Oct 15 | 6 months | State extension request due by original deadline |
| Minnesota | Apr 15 | Apr 15 | Oct 15 | 6 months | Extension request due date matches original deadline |
| North Carolina | Apr 15 | Apr 15 | Oct 15 | 6 months | Extension request due by original deadline; late payment may incur penalties |
| Alabama | Apr 15 | Apr 15 | Oct 15 | 6 months | Extension request due by original deadline |
| Kentucky | Apr 15 | Apr 15 | Oct 15 | 6 months | Extension request due by original deadline |
