# Available Carbohydrate and Estimated Glycemic Load (Computed) for Foods

| Food | Serving Size | Available Carbohydrate (%) | Available Carbs per Serving (g) | Estimated Glycemic Load | Method Note |
|---|---:|---:|---:|---:|---|
| Rice noodles | 1 cup cooked | 22 | 48 | 18 | GL estimated from carbs and assumed response |
| Cornflakes | 1 cup | 84 | 22 | 17 | Uses available carbs; no GI reported |
| Spaghetti, cooked | 1 cup | 30 | 14 | 7 | Approximation only |
| Baked potato | 1 medium | 21 | 37 | 19 | Serving-based calculation |
| Ice cream | 1/2 cup | 24 | 16 | 6 | Dessert portion |
| Lentils, cooked | 1 cup | 20 | 40 | 9 | Legume average |
| Apple | 1 medium | 14 | 25 | 5 | Fruit estimate |
| Cola | 12 fl oz | 11 | 39 | 10 | Sweetened beverage |
| Whole-grain bread | 1 slice | 38 | 12 | 6 | Bread portion |
