# List of Australian Football League players with 200 games for one club
> Geelong Football Club

| Name | Career span | Games |
| --- | --- | --- |
| Corey Enright | 2001–2016 | 332 |
| Ian Nankervis | 1967–1983 | 325 |
| Jimmy Bartel | 2002– | 305 |
| Sam Newman | 1964–1980 | 300 |
| Darren Milburn | 1997–2011 | 292 |
| Peter Riccardi | 1992–2006 | 288 |
| Matthew Scarlett | 1998–2012 | 284 |
| Joel Corey | 2000–2013 | 276 |
| Garry Hocking | 1987–2001 | 274 |
| James Kelly | 2002–2015 | 273 |
| Paul Couch | 1985–1997 | 259 |
| Andrew Mackie | 2004– | 257 |
| Bruce Nankervis | 1970–1983 | 253 |
| Steve Johnson | 2002–2015 | 253 |
| Paul Chapman | 2000–2013 | 251 |
| Bill Goggin | 1958–1971 | 248 |
| Cameron Ling | 2000–2011 | 246 |
| Reg Hickey | 1926–1940 | 245 |
| Michael Turner | 1974–1988 | 245 |
| Gary Ablett, Sr. | 1984–1996 | 242 |
| Barry Stoneham | 1986–2000 | 241 |
| George Todd | 1922–1934 | 232 |
| Joel Selwood | 2007– | 228 |
| Neville Bruns | 1978–1992 | 223 |
| Bill Eason | 1902–1915 | 220 |
| Terry Bright | 1976–1987 | 219 |
| Ben Graham | 1993–2004 | 219 |
| Tim McGrath | 1992–2002 | 219 |
| Cameron Mooney | 2000–2011 | 210 |
| Doug Wade | 1961–1972 | 208 |
| Andrew Bews | 1982–1993 | 207 |
| Harry Taylor | 2008– | 204 |
| David Wojcinski | 1999–2012 | 203 |
| David Clarke | 1971–1981 | 202 |
| Russell Renfrey | 1946–1956 | 201 |
| Robert Neal | 1974–1986 | 200 |
