# U.S. Governor Term Limits by State (Selected States M–W) with Rule Type

| State | Governor term-limit rule | Rule type (consecutive vs total) | Max years in office under rule | Term length (years) | Notes |
| --- | --- | --- | --- | --- | --- |
| Maine | No term limits | null | Unlimited | 4 | — |
| Massachusetts | No term limits | null | Unlimited | 4 | — |
| Michigan | 2 terms total | Total | 8 | 4 | Lifetime cap in practice (two full terms) |
| Minnesota | No term limits | null | Unlimited | 4 | — |
| Mississippi | 2 terms total | Total | 8 | 4 | Typically interpreted as a total cap |
| Missouri | 2 terms total | Total | 8 | 4 | — |
| Montana | 2 terms in any 16-year period | Rolling window | Up to 8 within 16 | 4 | May return after time out depending on prior service |
| New York | No term limits | null | Unlimited | 4 | — |
| Texas | No term limits | null | Unlimited | 4 | — |
| Virginia | 1 consecutive term only | Consecutive-only restriction | 4 consecutively | 4 | May serve nonconsecutive terms |
| Washington | 2 terms total | Total | 8 | 4 | — |
| Wisconsin | No term limits | null | Unlimited | 4 | — |
