# Cruise Line Roster with Regional Grouping and Operational Status (Company-Focused)

| Region | Cruise line | Status | Headquarters (country) | Segment |
| --- | --- | --- | --- | --- |
| North America | Princess Cruises | Operating | United States | Mainstream/premium |
| North America | Holland America Line | Operating | United States | Premium |
| North America | Seabourn Cruise Line | Operating | United States | Luxury |
| North America | Windstar Cruises | Operating | United States | Small ship/premium |
| Europe | Cunard Line | Operating | United Kingdom | Premium/luxury (ocean liner heritage) |
| Europe | Fred. Olsen Cruise Lines | Operating | United Kingdom | Mid-market/smaller ships |
| Europe | Ponant | Operating | France | Luxury/expedition |
| Europe | Louis Cruise Lines | Not operating (defunct/rebranded) | Cyprus | Historical brand; operations under different branding over time |
| Europe | Thomson Cruises | Not operating (rebranded) | United Kingdom | Brand became Marella Cruises |
| Asia | Dream Cruises | Not operating (defunct) | Hong Kong (China) | Brand suspended/ceased; Asian-market focus |
| South America | Pullmantur Air / Pullmantur (Cruises) | Not operating (defunct) | Spain | Included for legacy/brand status tracking |
| Africa | Africa Cruise Line | Not operating (defunct) | South Africa | Niche operator; no longer active |
| Oceania | P&O Cruises Australia | Not operating (merged/retired brand) | Australia | Brand folded into other operations |
