# U.S. Navy Officer and Enlisted Pay Grades Mixed (Career Tracks Combined)

| Pay Grade | Category | Title/Rate | Common Abbreviation | Notes |
| --- | --- | --- | --- | --- |
| E-3 | Enlisted | Seaman | SN | Junior enlisted |
| E-4 | Enlisted | Petty Officer Third Class | PO3 | NCO equivalent |
| E-5 | Enlisted | Petty Officer Second Class | PO2 | Leading rate |
| E-6 | Enlisted | Petty Officer First Class | PO1 | Senior PO |
| E-7 | Enlisted | Chief Petty Officer | CPO | Chief's Mess |
| O-1 | Officer | Ensign | ENS | Junior officer |
| O-2 | Officer | Lieutenant (junior grade) | LTJG | Division officer |
| O-3 | Officer | Lieutenant | LT | Department head |
| O-4 | Officer | Lieutenant Commander | LCDR | Executive department |
| O-5 | Officer | Commander | CDR | Command track |
