# Governor General of New France — Chronological Roster with Appointing Power (Clean Comparison View)

| Sequence | Governor General of New France | Years in office | Appointed by | End of tenure (how it ended) |
| --- | --- | --- | --- | --- |
| 1 | Augustin de Saffray de Mésy | 1663–1665 | Louis XIV | Died in office |
| 2 | Daniel de Rémy de Courcelle | 1665–1672 | Louis XIV | Recalled/returned to France |
| 3 | Louis de Buade de Frontenac (I) | 1672–1682 | Louis XIV | Recalled |
| 4 | Joseph-Antoine Le Febvre de La Barre | 1682–1685 | Louis XIV | Recalled |
| 5 | Jacques-René de Brisay de Denonville | 1685–1689 | Louis XIV | Recalled amid wartime crisis |
| 6 | Louis de Buade de Frontenac (II) | 1689–1698 | Louis XIV | Died in office |
| 7 | Louis-Hector de Callière | 1699–1703 | Louis XIV | Died in office |
| 8 | Philippe de Rigaud de Vaudreuil | 1703–1725 | Louis XIV | Died in office |
| 9 | Charles de Beauharnois | 1726–1747 | Louis XV | Resigned/returned to France |
