# Ancient Egyptian Deities Reference (Domains and Roles)

| Deity | Type | "God/Goddess of" (primary domains) | Common iconography / notes |
| --- | --- | --- | --- |
| Amun | God | kingship, hidden power, air/wind (often fused as Amun-Ra) | Often shown with tall double plumes; major at Thebes |
| Anubis | God | embalming, mummification, protection of the dead | Jackal-headed; guides and guards tombs |
| Bastet | Goddess | protection, domestic life, joy, cats | Cat/cat-headed woman; household guardian |
| Geb | God | the earth, fertility, earthquakes | Man associated with earth; partner of Nut |
| Hathor | Goddess | love, music, dance, motherhood, fertility | Cow/cow-horn headdress; "Lady of Turquoise" |
| Horus | God | kingship, the sky, protection of the pharaoh | Falcon-headed; avenges Osiris |
| Isis | Goddess | magic, healing, motherhood, protection | Throne headdress; mother of Horus |
| Ma'at | Goddess | truth, justice, cosmic order | Feather of Ma'at; weighing of the heart |
| Nephthys | Goddess | funerary rites, protection, the dead | Sister of Isis; associated with mourning |
| Nut | Goddess | the sky, stars, protection of the dead | Arching sky goddess over the earth |
| Osiris | God | the underworld, afterlife, resurrection | Mummified king; green/black skin symbolism |
| Ptah | God | creation, craftsmen, artisans | Patron of Memphis; creator through thought/speech |
