# Commander-in-Chief , India
> List of Commanders-in-Chief

| Name | Notes | Appointed |
| --- | --- | --- |
| General Sir James Craig | Officiating | 1801 February |
| General Gerard Lake | Improved the Indian Army by making all arms, infantry, cavalry and artillery, more mobile and more manageable. | 1801 March |
| General The Marquess Cornwallis | Reappointment. With Sir Arthur Wellesley , he supervised the Second Anglo-Maratha War against the Sindhia and the Holkar . | 1805 July |
| General The Lord Lake | Reappointment following the death of Cornwallis' successor John Graves Simcoe . Upon Cornwallis' death, Lake pursued the Holkar to the Punjab . The Holkar capitulated at Amritsar in December 1805. | 1805 October |
| General John Simcoe | Appointed to post in England late 1805, but died before departing for India and replaced by Lake | 1806 |
| General The Lord Lake | Reappointment following death of John Graves Simcoe , who died after accepting the appointment in England | 1806 |
| General Sir George Hewett | Transformed Meerut into a British stronghold that would be used as a launching point for future military campaigns into northern India. | 1807 October |
| Lieutenant-General Forbes Champagné | Officiating | 1807 December |
| Field Marshal Sir George Nugent |  | 1811 January |
| General The Earl of Moira | 1st Marquess of Hastings from 1816; Oversaw British forces in the Gurkha War ; conquered the Marathas ; repaired the Mogul canals in Delhi ; instituted educational reforms. | 1813 October |
| General Sir Edward Paget |  | 1823 January |
| Field Marshal The Lord Combermere | 1st Viscount Combermere from 1827 | 1825 October |
| General The Earl of Dalhousie | Began the British suppression of the Thuggee murder-cults. | 1830 January |
| Lieutenant-General Sir Edward Barnes | Constructed the military road between Colombo and Kandy , made the first census of the population, and introduced coffee cultivation. | 1832 January |
| General Lord William Bentinck | Suppressed the Hindu custom of suttee . | 1833 October |
| General Lord William Bentinck | Reappointment | 1834 April |
| General Sir James Watson | Established the famous police organisation known as the " Thuggee and Dacoity Department" within the Government of India . | 1835 March |
| General Sir Henry Fane |  | 1835 September |
| General Sir Jasper Nicolls | Officiating | 1839 December |
| Field Marshal Hugh Gough | 1st Baron Gough from 1846; Defeated the Mahrattas at Maharajpur . Conducted operations against the Sikhs and won the battles of Mudki , Ferozeshah and Sobraon . Soon after, the Sikhs surrendered at Lahore . | 1843 August |
| General Sir Charles James Napier | Conquered Sindh and made it part of Bombay Presidency . | 1849 May |
| Field Marshal Sir William Gomm |  | 1851 December |
| Major-General George Anson | Outbreak of the Indian Rebellion of 1857 . Died of cholera during his march against the Indian mutineers at Delhi in May, 1857. | 1856 January |
| Lieutenant-General Sir Patrick Grant | Directed operations against the Indian mutineers , sending forces under Havelock and Outram for the relief of Cawnpore and Lucknow , until the arrival of Sir Colin Campbell from England. | 1857 June |
| General Sir Colin Campbell | 1st Baron Clyde from 1858; Abandoned then recaptured Lucknow . Supervised military operations in Oudh until the Indian Rebellion had been subdued. | 1857 August |
