# Most Subscribed YouTube Channels (Snapshot) — With Owner Company Profiles

| Rank | Channel | Subscribers (M) | Owner / Company | Primary Operator | HQ Country |
|---:|---|---:|---|---|---|
| 1 | T-Series | 252.4 | Super Cassettes Industries Pvt. Ltd. | Bhushan Kumar (chairman) | India |
| 2 | MrBeast | 220.1 | Beast Industries | Jimmy Donaldson | United States |
| 3 | Cocomelon - Nursery Rhymes | 176.8 | Moonbug Entertainment | Moonbug Studios team | United States |
| 4 | SET India | 173.2 | Sony Pictures Networks India | Sony TV division | India |
| 5 | Kids Diana Show | 120.5 | Kids Diana Show LLC | Diana & family | United States |
| 6 | Like Nastya | 114.7 | Like Nastya Inc. | Anastasia Radzinskaya & parents | United States |
| 7 | PewDiePie | 111.9 | Personal brand entity | Felix Kjellberg | Japan |
| 8 | WWE | 103.6 | TKO Group Holdings | WWE management | United States |
| 9 | Zee Music Company | 102.9 | Zee Entertainment Enterprises | Zee Music team | India |
| 10 | BLACKPINK | 93.8 | YG Entertainment | YG artist management | South Korea |
