# List of Texas Civil War Confederate units (Infantry regiments raised in Texas)

| Regiment (Final Designation) | Formation / Muster (Year) | Primary Theater(s) | Notable Commanders (examples) | Alternate / Nickname |
| --- | --- | --- | --- | --- |
| 1st Texas Infantry Regiment | 1861 | Eastern Theater (Army of Northern Virginia) | Col Louis T. Wigfall; Col Phillip Work | Part of Hood's Texas Brigade |
| 2nd Texas Infantry Regiment | 1861 | Eastern Theater | Col John C. Robertson; Col William P. Rogers | Hood's Texas Brigade |
| 3rd Texas Infantry Regiment | 1861 | Eastern Theater | Col Philip N. Luckett | Hood's Texas Brigade |
| 4th Texas Infantry Regiment | 1861 | Eastern Theater | Col John F. Marshall | Hood's Texas Brigade |
| 5th Texas Infantry Regiment | 1861 | Trans-Mississippi | Col Jerome B. Robertson | Sometimes grouped with Texas brigades in Arkansas |
| 6th Texas Infantry Regiment | 1861 | Trans-Mississippi | Col Peter F. Ross | Gulf Coast / Trans-Mississippi service |
| 7th Texas Infantry Regiment | 1861 | Trans-Mississippi | Col William R. Bradfute | Texas infantry for frontier & river defenses |
| 8th Texas Infantry Regiment | 1861 | Trans-Mississippi | Col Augustus Buchel (staff association) | Coastal defense duties in periods |
| 9th Texas Infantry Regiment | 1861 | Trans-Mississippi | Col Dudley W. Jones | Also referenced in district garrisons |
| 10th Texas Infantry Regiment | 1861 | Trans-Mississippi | Col Allen Thomas | Red River / western Louisiana operations |
| 11th Texas Infantry Regiment | 1862 | Trans-Mississippi | Col George W. Spaight | Sometimes listed with “Spaight’s Regiment” |
| 12th Texas Infantry Regiment | 1862 | Trans-Mississippi | Col Edward W. Waller | Occasionally styled “Waller’s Regiment” |
