# Best Bank Savings and Money Market Rates (Not CDs)

| Bank | Product | APY | Minimum Opening Deposit | Key Requirement |
| --- | --- | --- | --- | --- |
| Northshore Bank | High-Yield Savings | 4.35% | $0 | Online statements |
| Greenline Financial | Money Market Account | 4.10% | $1,000 | 6 withdrawals/month |
| Citywide Bank | High-Yield Savings | 4.05% | $100 | New customers only |
| Horizon CU | Rewards Checking | 3.75% | $25 | 12 debit transactions |
| Pinecrest Bank | Savings | 3.90% | $500 | Direct deposit required |
| Landmark Online Bank | Money Market Account | 4.25% | $5,000 | Tiered APY |
| Riverbend Bank | Cash Management | 4.00% | $0 | Mobile deposit |
| Keystone Savings | High-Yield Savings | 4.15% | $250 | Relationship pricing |
| Harbor Savings | Money Market Account | 3.95% | $2,500 | Maintain balance to earn APY |
