# Daylight Saving Time by Country Territory (Selected Reference List)

| Country/Territory | Continent/Region | Hemisphere (typical summer) | DST observed? | DST start rule (local time) | DST end rule (local time) |
|---|---|---|---|---|---|
| United States (most states) | North America | Northern | Yes | Second Sunday in March, 02:00 (clocks forward +1h) | First Sunday in November, 02:00 (clocks back -1h) |
| Canada (most provinces) | North America | Northern | Yes | Second Sunday in March, 02:00 | First Sunday in November, 02:00 |
| Mexico (selected border areas) | North America | Northern | Partial/Varies | Varies by state; often aligned with adjacent U.S. changeover | Varies by state; often aligned with adjacent U.S. changeover |
| Brazil (most) | South America | Southern | No (currently not observed) | Not observed | Not observed |
| Chile (continental) | South America | Southern | Yes | Varies by government decree (typically Aug/Sep) | Varies by government decree (typically Apr) |
| United Kingdom | Europe | Northern | Yes | Last Sunday in March, 01:00 UTC (switch to BST) | Last Sunday in October, 01:00 UTC (back to GMT) |
| European Union (most members) | Europe | Northern | Yes | Last Sunday in March, 01:00 UTC | Last Sunday in October, 01:00 UTC |
| Morocco | Africa | Northern | Yes (with Ramadan suspension) | Typically last Sunday in March (often paused during Ramadan) | Typically last Sunday in October (often resumes after Ramadan) |
| Egypt | Africa | Northern | Partial/Policy-dependent | May be reintroduced/changed by law; dates can vary | May be reintroduced/changed by law; dates can vary |
| Australia (NSW/VIC/SA/TAS/ACT) | Oceania | Southern | Partial/Varies | First Sunday in October, 02:00 | First Sunday in April, 03:00 |
| New Zealand | Oceania | Southern | Yes | Last Sunday in September, 02:00 | First Sunday in April, 03:00 |
| Japan | Asia | Northern | No | Not observed | Not observed |
| Thailand | Asia | Northern | No | Not observed | Not observed |
