# Super Smash Bros. Melee (SSBM) Tournament Tier List — Placement Tier and Matchup-Based Score

| Rank | Character | Tier | Matchup Score (0–10) | Tournament Viability | Typical Gameplan |
| ---: | --- | :---: | ---: | --- | --- |
| 1 | Fox | S | 9.8 | Best overall | Speed + shine pressure + confirms |
| 2 | Falco | S | 9.4 | Top-tier staple | Laser control into pillar combos |
| 3 | Marth | S | 9.2 | Top-tier staple | Disjoint spacing + edgeguards |
| 4 | Sheik | A+ | 8.9 | Highly viable | Tech-chase, strong punish game |
| 5 | Jigglypuff | A+ | 8.8 | Highly viable | Air mobility, rest punishes |
| 6 | Captain Falcon | A | 8.4 | Very viable | Explosive movement, knee confirms |
| 7 | Peach | A | 8.3 | Very viable | Float mixups, strong defense |
| 8 | Ice Climbers | A- | 8.0 | Viable (polarizing) | Grab setups, wobble-less punish |
| 9 | Pikachu | B+ | 7.6 | Niche viable | Quick attack movement, edgeguards |
| 10 | Luigi | B | 7.2 | Counterpick-level | Slide pressure, risky recovery |
| 11 | Dr. Mario | C+ | 6.6 | Low-mid viability | Pills + close-range brawling |
| 12 | Samus | C | 6.3 | Low-mid viability | Projectile zoning, survivability |
| 13 | Donkey Kong | D+ | 5.6 | Rare in top brackets | Grab-heavy, big punish swings |
| 14 | Zelda | D | 5.1 | Very rare | Hard reads, limited neutral tools |
| 15 | Bowser | F | 4.2 | Non-viable | Big body, poor frame data |
